pid,human_valence_1to7,human_arousal_1to7,human_interest_1to5,chapter_text,model,pred_valence_1to7,pred_arousal_1to7,pred_interest_1to5,rationale
1103,5,5,5,"Princess Yoko wandered through the royal gardens as the morning light softly illuminated glistening dew on freshly bloomed roses and perfectly pruned hedges. It was the day of the grand ball—a cherished event where noble suitors traditionally gathered to win her heart. Yet, while she took in the elegant fountains and timeless statues, her thoughts strayed to a life of freedom far beyond the palace confines. The gentle chorus of birds and hushed whispers of the staff only amplified her inner longing for self-determination.<br><br>

With each measured step, Yoko’s determination solidified. No longer willing to be merely the emblem of regal tradition, she resolved that tonight, beneath the veil of dusk, she would vanish into the night to forge her own path. Wearing a modest dress that belied the fierce spirit within, she cast a final, reflective look toward the ballroom, ready to embrace the unpredictable journey that lay beyond the castle gates.",gpt-4.1-nano,6,5,4,"The participant's high agreeableness and empathy suggest she would find the story emotionally inspiring and engaging, with a positive outlook on Princess Yoko's desire for independence, leading to a moderately high arousal and interest level."
111,6,5,4,"In the pale light of a post-war morning, Miriam stepped onto the cracked cobblestones of a small town scarred by conflict. Clutching her threadbare shawl close, she made her way toward the modest market, where sparse vendors sold their remaining wares with heavy hearts. The low murmur of neighbors echoed the quiet despair of rebuilding lives amid lingering loss. As she paused by a worn fruit stand, a brief nod from a weary stranger offered little comfort—a silent reminder of the daily struggle. With resolve tempered by hardship, Miriam carried on, determined to provide for her family even when hope felt like a distant memory.",gpt-4.1-nano,3,3,2,"The chapter's somber tone and themes of hardship likely evoke a somewhat negative and low-energy emotional response, with limited personal interest given the participant's personality traits."
1112,5,7,3,"Sasha’s small fingers trembled with excitement as she peeled away another strip of the faded wallpaper. She had discovered the corner of a door behind the peeling paper in the attic last week, and today she could no longer resist exploring further. With each tug, more of the wooden door was revealed, along with an old-fashioned keyhole that seemed to wink at her in the dim attic light. She wasn’t supposed to play up here alone, but something about the hidden door was too intriguing — almost as if it was calling her.<br><br>
As thunder rumbled outside, Sasha pressed her ear against the cool, dusty wood. At first, she heard nothing but the thud of her own heartbeat. Then, ever so faintly, she caught what sounded like a whisper: her own name. Sasha’s breath hitched. She glanced over her shoulder, half expecting to find her older brother playing a prank, but the attic was empty except for shadows. Gathering her courage, she nudged the door. It didn’t budge, but a thin line of golden light appeared around the edges, sending dust motes dancing in its glow. Sasha’s imagination raced — was this a doorway to a secret playroom, a magical kingdom, or something else entirely? She knew only one way to find out.",gpt-4.1-nano,6,5,4,"The participant's openness and low extraversion suggest they would find the mysterious and imaginative story intriguing and engaging, leading to a positive and moderately high arousal response."
1114,6,4,4,"Princess Yoko wandered through the royal gardens as the morning light softly illuminated glistening dew on freshly bloomed roses and perfectly pruned hedges. It was the day of the grand ball—a cherished event where noble suitors traditionally gathered to win her heart. Yet, while she took in the elegant fountains and timeless statues, her thoughts strayed to a life of freedom far beyond the palace confines. The gentle chorus of birds and hushed whispers of the staff only amplified her inner longing for self-determination.<br><br>

With each measured step, Yoko’s determination solidified. No longer willing to be merely the emblem of regal tradition, she resolved that tonight, beneath the veil of dusk, she would vanish into the night to forge her own path. Wearing a modest dress that belied the fierce spirit within, she cast a final, reflective look toward the ballroom, ready to embrace the unpredictable journey that lay beyond the castle gates.",gpt-4.1-nano,6,5,4,"The participant's high openness and need for cognition suggest they would find the story intriguing and emotionally engaging, with moderate excitement and interest in the theme of personal freedom and self-determination."
1117,3,7,3,"Dylan’s eyes snapped open. He turned to his alarm clock.
 8:12 a.m. He stared at it for two full seconds before leaping out of bed. “Mom! Why didn’t you wake me up?!” he shouted, grabbing yesterday’s T-shirt off the floor. He shoved one sock on, then the other, and stuffed a granola bar into his hoodie pocket. <br><br>
The bus came at 8:15. He had exactly three minutes. Shoes barely tied, he burst out the front door, backpack swinging wildly. As he reached the corner, he saw the bus—already at his stop. The doors closed. It started to pull away.",gpt-4.1-nano,3,6,3,"The chapter depicts a stressful, hurried morning which may evoke negative feelings and high energy, but the participant's moderate interest suggests a neutral emotional response overall."
112,5,2,4,"In the pale light of a post-war morning, Miriam stepped onto the cracked cobblestones of a small town scarred by conflict. Clutching her threadbare shawl close, she made her way toward the modest market, where sparse vendors sold their remaining wares with heavy hearts. The low murmur of neighbors echoed the quiet despair of rebuilding lives amid lingering loss. As she paused by a worn fruit stand, a brief nod from a weary stranger offered little comfort—a silent reminder of the daily struggle. With resolve tempered by hardship, Miriam carried on, determined to provide for her family even when hope felt like a distant memory.",gpt-4.1-nano,3,3,2,"The chapter's somber tone and themes of hardship likely evoke a somewhat negative and low-energy emotional response, with limited personal interest given the participant's personality traits."
1125,3,6,4,"In the neon glow of a futuristic metropolis, Jax adjusted the controls on his hovering bike as he navigated the bustling sky lanes. It was another routine day in the sprawling city of Neo-Arcadia—a place where technology blurred the lines between human and machine. As he soared past holographic billboards and automated drones, a sudden alert on his wrist communicator disrupted his monotony. An encrypted message from an old friend hinted at a conspiracy involving the city’s governing AI. The standard mix of excitement and apprehension set in, as Jax knew all too well that this was the beginning of an adventure. His journey into a digital labyrinth was about to begin.",gpt-4.1-nano,6,6,4,"The participant's high openness and green scores suggest they would find the futuristic, tech-driven story engaging and exciting, with a positive emotional response and moderate to high energy levels."
1136,2,6,3,"Dylan’s eyes snapped open. He turned to his alarm clock.
 8:12 a.m. He stared at it for two full seconds before leaping out of bed. “Mom! Why didn’t you wake me up?!” he shouted, grabbing yesterday’s T-shirt off the floor. He shoved one sock on, then the other, and stuffed a granola bar into his hoodie pocket. <br><br>
The bus came at 8:15. He had exactly three minutes. Shoes barely tied, he burst out the front door, backpack swinging wildly. As he reached the corner, he saw the bus—already at his stop. The doors closed. It started to pull away.",gpt-4.1-nano,3,6,2,"The participant's high neuroticism and low extraversion suggest a tendency toward negative and high-energy reactions to stressful, hurried situations, with limited interest in the story's content."
1144,4,5,3,"Dylan’s eyes snapped open. He turned to his alarm clock.
 8:12 a.m. He stared at it for two full seconds before leaping out of bed. “Mom! Why didn’t you wake me up?!” he shouted, grabbing yesterday’s T-shirt off the floor. He shoved one sock on, then the other, and stuffed a granola bar into his hoodie pocket. <br><br>
The bus came at 8:15. He had exactly three minutes. Shoes barely tied, he burst out the front door, backpack swinging wildly. As he reached the corner, he saw the bus—already at his stop. The doors closed. It started to pull away.",gpt-4.1-nano,3,6,2,"The chapter depicts a stressful, hurried morning which likely evokes negative feelings and high energy, but the participant's low openness and minimal interest in stories suggest limited engagement."
1145,5,5,3,"Aelin strode into the bustling market square of Eldoria, where magic and myth were as common as the wares on every stall. Having just left her quiet village, she hoped to find clues about her mysterious heritage. Stalls adorned with enchanted trinkets and potions lined the cobblestone streets, while townsfolk chattered about an ancient prophecy. Amid the clamor, a hooded figure approached her with a worn map and a knowing smile. The promise of adventure hung in the air like a whispered legend. With her heart pounding in anticipation of quests and magic, Aelin sensed that her journey was destined to follow the well-worn path of epic tales she’d read since childhood.",gpt-4.1-nano,6,6,4,"The participant's moderate openness and high agency suggest they would find the story engaging and exciting, with a positive emotional tone and energetic interest."
1146,4,2,3,"In the neon glow of a futuristic metropolis, Jax adjusted the controls on his hovering bike as he navigated the bustling sky lanes. It was another routine day in the sprawling city of Neo-Arcadia—a place where technology blurred the lines between human and machine. As he soared past holographic billboards and automated drones, a sudden alert on his wrist communicator disrupted his monotony. An encrypted message from an old friend hinted at a conspiracy involving the city’s governing AI. The standard mix of excitement and apprehension set in, as Jax knew all too well that this was the beginning of an adventure. His journey into a digital labyrinth was about to begin.",gpt-4.1-nano,6,6,5,"The participant's high openness and extraversion suggest they would find the futuristic adventure engaging and exciting, leading to positive valence and high arousal, with strong interest in the story."
115,5,6,5,"Aelin strode into the bustling market square of Eldoria, where magic and myth were as common as the wares on every stall. Having just left her quiet village, she hoped to find clues about her mysterious heritage. Stalls adorned with enchanted trinkets and potions lined the cobblestone streets, while townsfolk chattered about an ancient prophecy. Amid the clamor, a hooded figure approached her with a worn map and a knowing smile. The promise of adventure hung in the air like a whispered legend. With her heart pounding in anticipation of quests and magic, Aelin sensed that her journey was destined to follow the well-worn path of epic tales she’d read since childhood.",gpt-4.1-nano,6,6,4,"The participant's high extraversion and openness suggest she would find the story engaging and exciting, with positive emotional valence and energetic interest."
1165,3,4,5,"Mira fumbled for the light switch and flipped open her leather-bound diary, ready to pen the day’s events as she did every evening. But tonight, her hand froze. The page for today’s date was already filled with neat lines of handwriting that looked exactly like her own. Heart pounding, Mira leaned in. The entry described her entire day in uncanny detail — the burnt toast at breakfast, the pop quiz in biology class, even the strange cat that had trailed her halfway home.<br><br>
She hadn’t written a single word, yet there it was: her day retold from start to finish. Mira’s throat went dry as she scanned the final lines. The diary entry ended with a detail so fresh it hadn’t even happened when she climbed the stairs: “At 10:17 PM, Mira gasps in disbelief, reading these words.” The digital clock on her desk blinked 10:17 PM.<br><br>
Mira slammed the diary shut and backed away as if it might bite. Her mind raced through a dozen explanations — a prank, a lapse in memory, something beyond reality itself. For a moment, she couldn't tell if the chill that ran through her came from the night air leaking through the window or the unsettling words on the page. Trembling, she realized her safe little world had cracked open, and whatever was happening was only just beginning.",gpt-4.1-nano,3,6,4,"The participant's high neuroticism and openness suggest a tendency to find unsettling stories intriguing and emotionally stimulating, leading to moderate negative valence and high arousal, with a fairly high interest level."
1170,5,7,5,"Aelin strode into the bustling market square of Eldoria, where magic and myth were as common as the wares on every stall. Having just left her quiet village, she hoped to find clues about her mysterious heritage. Stalls adorned with enchanted trinkets and potions lined the cobblestone streets, while townsfolk chattered about an ancient prophecy. Amid the clamor, a hooded figure approached her with a worn map and a knowing smile. The promise of adventure hung in the air like a whispered legend. With her heart pounding in anticipation of quests and magic, Aelin sensed that her journey was destined to follow the well-worn path of epic tales she’d read since childhood.",gpt-4.1-nano,6,6,4,"The participant's high openness and neuroticism suggest they would find the story engaging and emotionally stimulating, leading to a positive and energetic response with moderate interest."
1175,3,5,4,"In the neon glow of a futuristic metropolis, Jax adjusted the controls on his hovering bike as he navigated the bustling sky lanes. It was another routine day in the sprawling city of Neo-Arcadia—a place where technology blurred the lines between human and machine. As he soared past holographic billboards and automated drones, a sudden alert on his wrist communicator disrupted his monotony. An encrypted message from an old friend hinted at a conspiracy involving the city’s governing AI. The standard mix of excitement and apprehension set in, as Jax knew all too well that this was the beginning of an adventure. His journey into a digital labyrinth was about to begin.",gpt-4.1-nano,6,6,5,"The participant's high openness, curiosity, and engagement with complex narratives suggest she would find the story exciting and intriguing, leading to positive valence, high arousal, and strong interest."
1181,6,7,4,"Aelin strode into the bustling market square of Eldoria, where magic and myth were as common as the wares on every stall. Having just left her quiet village, she hoped to find clues about her mysterious heritage. Stalls adorned with enchanted trinkets and potions lined the cobblestone streets, while townsfolk chattered about an ancient prophecy. Amid the clamor, a hooded figure approached her with a worn map and a knowing smile. The promise of adventure hung in the air like a whispered legend. With her heart pounding in anticipation of quests and magic, Aelin sensed that her journey was destined to follow the well-worn path of epic tales she’d read since childhood.",gpt-4.1-nano,6,6,4,"The participant's high openness and need for cognition suggest they would find the story intriguing and engaging, with positive emotional valence and energetic engagement."
121,3,6,2,"In the neon glow of a futuristic metropolis, Jax adjusted the controls on his hovering bike as he navigated the bustling sky lanes. It was another routine day in the sprawling city of Neo-Arcadia—a place where technology blurred the lines between human and machine. As he soared past holographic billboards and automated drones, a sudden alert on his wrist communicator disrupted his monotony. An encrypted message from an old friend hinted at a conspiracy involving the city’s governing AI. The standard mix of excitement and apprehension set in, as Jax knew all too well that this was the beginning of an adventure. His journey into a digital labyrinth was about to begin.",gpt-4.1-nano,5,6,4,"The participant's moderate openness and curiosity suggest a generally positive and engaged response to the story, with high energy and interest levels."
1214,4,5,3,"Aelin strode into the bustling market square of Eldoria, where magic and myth were as common as the wares on every stall. Having just left her quiet village, she hoped to find clues about her mysterious heritage. Stalls adorned with enchanted trinkets and potions lined the cobblestone streets, while townsfolk chattered about an ancient prophecy. Amid the clamor, a hooded figure approached her with a worn map and a knowing smile. The promise of adventure hung in the air like a whispered legend. With her heart pounding in anticipation of quests and magic, Aelin sensed that her journey was destined to follow the well-worn path of epic tales she’d read since childhood.",gpt-4.1-nano,6,6,4,"The participant's moderate openness and curiosity suggest a generally positive and engaging response to the story, with high energy and interest levels."
1218,5,6,5,"Sasha’s small fingers trembled with excitement as she peeled away another strip of the faded wallpaper. She had discovered the corner of a door behind the peeling paper in the attic last week, and today she could no longer resist exploring further. With each tug, more of the wooden door was revealed, along with an old-fashioned keyhole that seemed to wink at her in the dim attic light. She wasn’t supposed to play up here alone, but something about the hidden door was too intriguing — almost as if it was calling her.<br><br>
As thunder rumbled outside, Sasha pressed her ear against the cool, dusty wood. At first, she heard nothing but the thud of her own heartbeat. Then, ever so faintly, she caught what sounded like a whisper: her own name. Sasha’s breath hitched. She glanced over her shoulder, half expecting to find her older brother playing a prank, but the attic was empty except for shadows. Gathering her courage, she nudged the door. It didn’t budge, but a thin line of golden light appeared around the edges, sending dust motes dancing in its glow. Sasha’s imagination raced — was this a doorway to a secret playroom, a magical kingdom, or something else entirely? She knew only one way to find out.",gpt-4.1-nano,6,6,4,"The participant's high openness and extraversion suggest they would find the story intriguing and emotionally engaging, leading to positive valence and high arousal, with moderate interest in the narrative."
122,3,6,4,"Mira fumbled for the light switch and flipped open her leather-bound diary, ready to pen the day’s events as she did every evening. But tonight, her hand froze. The page for today’s date was already filled with neat lines of handwriting that looked exactly like her own. Heart pounding, Mira leaned in. The entry described her entire day in uncanny detail — the burnt toast at breakfast, the pop quiz in biology class, even the strange cat that had trailed her halfway home.<br><br>
She hadn’t written a single word, yet there it was: her day retold from start to finish. Mira’s throat went dry as she scanned the final lines. The diary entry ended with a detail so fresh it hadn’t even happened when she climbed the stairs: “At 10:17 PM, Mira gasps in disbelief, reading these words.” The digital clock on her desk blinked 10:17 PM.<br><br>
Mira slammed the diary shut and backed away as if it might bite. Her mind raced through a dozen explanations — a prank, a lapse in memory, something beyond reality itself. For a moment, she couldn't tell if the chill that ran through her came from the night air leaking through the window or the unsettling words on the page. Trembling, she realized her safe little world had cracked open, and whatever was happening was only just beginning.",gpt-4.1-nano,3,6,4,"The participant's high agreeableness and empathy suggest concern and curiosity about the mysterious and unsettling story, leading to moderate negative valence and high arousal, with a fairly high interest level."
1224,3,5,3,"Jason’s eyes darted across the dimly lit parking garage as he exited his car in the dead of night. Rain slicked the pavement, and a distant siren wailed as if warning him of imminent danger. In the shadows, every movement became a potential threat. His hand brushed against the cold metal of the concealed weapon at his side. Earlier that evening, a cryptic phone call had instructed him to meet a contact at this very location, where nothing was as it seemed. With his heart pounding and instincts on high alert, Jason took a cautious step forward, aware that every moment could ignite a chain reaction of unforeseen peril.",gpt-4.1-nano,3,6,4,"The suspenseful and intense scene likely evokes negative valence and high arousal, with moderate interest due to the thriller context."
1229,2,1,3,"In the pale light of a post-war morning, Miriam stepped onto the cracked cobblestones of a small town scarred by conflict. Clutching her threadbare shawl close, she made her way toward the modest market, where sparse vendors sold their remaining wares with heavy hearts. The low murmur of neighbors echoed the quiet despair of rebuilding lives amid lingering loss. As she paused by a worn fruit stand, a brief nod from a weary stranger offered little comfort—a silent reminder of the daily struggle. With resolve tempered by hardship, Miriam carried on, determined to provide for her family even when hope felt like a distant memory.",gpt-4.1-nano,3,3,2,"The chapter's somber tone and themes of hardship likely evoke a somewhat negative and low-energy response, with limited personal interest given the participant's moderate openness and low empathy scores."
1235,4,5,3,"Aelin strode into the bustling market square of Eldoria, where magic and myth were as common as the wares on every stall. Having just left her quiet village, she hoped to find clues about her mysterious heritage. Stalls adorned with enchanted trinkets and potions lined the cobblestone streets, while townsfolk chattered about an ancient prophecy. Amid the clamor, a hooded figure approached her with a worn map and a knowing smile. The promise of adventure hung in the air like a whispered legend. With her heart pounding in anticipation of quests and magic, Aelin sensed that her journey was destined to follow the well-worn path of epic tales she’d read since childhood.",gpt-4.1-nano,6,6,4,"The participant's high openness and need for cognition suggest they would find the story engaging and stimulating, with a positive emotional response and moderate to high interest."
1237,4,4,2,"Aelin strode into the bustling market square of Eldoria, where magic and myth were as common as the wares on every stall. Having just left her quiet village, she hoped to find clues about her mysterious heritage. Stalls adorned with enchanted trinkets and potions lined the cobblestone streets, while townsfolk chattered about an ancient prophecy. Amid the clamor, a hooded figure approached her with a worn map and a knowing smile. The promise of adventure hung in the air like a whispered legend. With her heart pounding in anticipation of quests and magic, Aelin sensed that her journey was destined to follow the well-worn path of epic tales she’d read since childhood.",gpt-4.1-nano,6,6,4,"The participant's high agreeableness and openness suggest they would find the story engaging and emotionally positive, with moderate excitement and interest in the narrative."
124,5,3,3,"In the pale light of a post-war morning, Miriam stepped onto the cracked cobblestones of a small town scarred by conflict. Clutching her threadbare shawl close, she made her way toward the modest market, where sparse vendors sold their remaining wares with heavy hearts. The low murmur of neighbors echoed the quiet despair of rebuilding lives amid lingering loss. As she paused by a worn fruit stand, a brief nod from a weary stranger offered little comfort—a silent reminder of the daily struggle. With resolve tempered by hardship, Miriam carried on, determined to provide for her family even when hope felt like a distant memory.",gpt-4.1-nano,3,3,2,"The chapter's somber tone and themes of hardship likely evoke a somewhat negative and low-energy response, with limited personal interest given the participant's personality traits."
1241,3,6,3,"Jason’s eyes darted across the dimly lit parking garage as he exited his car in the dead of night. Rain slicked the pavement, and a distant siren wailed as if warning him of imminent danger. In the shadows, every movement became a potential threat. His hand brushed against the cold metal of the concealed weapon at his side. Earlier that evening, a cryptic phone call had instructed him to meet a contact at this very location, where nothing was as it seemed. With his heart pounding and instincts on high alert, Jason took a cautious step forward, aware that every moment could ignite a chain reaction of unforeseen peril.",gpt-4.1-nano,3,6,4,"The suspenseful and tense story likely evokes negative valence and high arousal, with moderate to high interest due to its engaging narrative."
1247,3,1,3,"In the pale light of a post-war morning, Miriam stepped onto the cracked cobblestones of a small town scarred by conflict. Clutching her threadbare shawl close, she made her way toward the modest market, where sparse vendors sold their remaining wares with heavy hearts. The low murmur of neighbors echoed the quiet despair of rebuilding lives amid lingering loss. As she paused by a worn fruit stand, a brief nod from a weary stranger offered little comfort—a silent reminder of the daily struggle. With resolve tempered by hardship, Miriam carried on, determined to provide for her family even when hope felt like a distant memory.",gpt-4.1-nano,3,3,2,"The chapter's somber tone and themes of hardship likely evoke a somewhat negative and low-energy response, with limited personal interest given the bleak content."
1256,3,4,3,"In the pale light of a post-war morning, Miriam stepped onto the cracked cobblestones of a small town scarred by conflict. Clutching her threadbare shawl close, she made her way toward the modest market, where sparse vendors sold their remaining wares with heavy hearts. The low murmur of neighbors echoed the quiet despair of rebuilding lives amid lingering loss. As she paused by a worn fruit stand, a brief nod from a weary stranger offered little comfort—a silent reminder of the daily struggle. With resolve tempered by hardship, Miriam carried on, determined to provide for her family even when hope felt like a distant memory.",gpt-4.1-nano,3,3,2,"The chapter's somber tone and themes of hardship likely evoke a somewhat negative and low-energy response, with limited personal interest due to emotional distance."
1261,2,6,4,"Jason’s eyes darted across the dimly lit parking garage as he exited his car in the dead of night. Rain slicked the pavement, and a distant siren wailed as if warning him of imminent danger. In the shadows, every movement became a potential threat. His hand brushed against the cold metal of the concealed weapon at his side. Earlier that evening, a cryptic phone call had instructed him to meet a contact at this very location, where nothing was as it seemed. With his heart pounding and instincts on high alert, Jason took a cautious step forward, aware that every moment could ignite a chain reaction of unforeseen peril.",gpt-4.1-nano,3,6,4,"The suspenseful and intense scene likely evokes negative valence with high arousal, and the participant's curiosity and openness suggest moderate to high interest."
1293,4,7,5,"Dylan’s eyes snapped open. He turned to his alarm clock.
 8:12 a.m. He stared at it for two full seconds before leaping out of bed. “Mom! Why didn’t you wake me up?!” he shouted, grabbing yesterday’s T-shirt off the floor. He shoved one sock on, then the other, and stuffed a granola bar into his hoodie pocket. <br><br>
The bus came at 8:15. He had exactly three minutes. Shoes barely tied, he burst out the front door, backpack swinging wildly. As he reached the corner, he saw the bus—already at his stop. The doors closed. It started to pull away.",gpt-4.1-nano,3,6,3,"The chapter depicts a stressful, hurried morning which may evoke slightly negative feelings and high energy, but moderate interest due to its relatable, everyday scenario."
